aas	b2836	E100002773
aat	b0885	E100000860
abc	b0199	E100000199
abrB	b0715	E100000698
accA	b0185	E100000185
accB	b3255	E100003185
accC	b3256	E100003186
accD	b2316	E100002274
aceA	b4015	E100003907
aceB	b4014	E100003906
aceE	b0114	E100000114
aceF	b0115	E100000115
aceK	b4016	E100003908
ackA	b2296	E100002254
acnA	b1276	E100001247
acnB	b0118	E100000118
acpD	b1412	E100001383
acpP	b1094	E100001067
acpS	b2563	E100002514
acrA	b0463	E100000454
acrB	b0462	E100000453
acrD	b2470	E100002421
acrE	b3265	E100003195
acrF	b3266	E100003196
acrR	b0464	E100000455
acs	b4069	E100003961
ada	b2213	E100002171
add	b1623	E100001593
adhC	b0356	E100000348
adhE	b1241	E100001212
adhP	b1478	E100001449
adiA	b4117	E100004009
adiY	b4116	E100004008
adk	b0474	E100000465
aefA	b0465	E100000456
aer	b3072	E100003005
afuC	b0262	E100000254
agaA	b3135	E100003067
agaB	b3138	E100003070
agaC	b3139	E100003071
agaD	b3140	E100003072
agaI	b3141	E100003073
agaR	b3131	E100003063
agaS	b3136	E100003068
agaV	b3133	E100003065
agaW	b3134	E100003066
agaY	b3137	E100003069
agaZ	b3132	E100003064
agp	b1002	E100000976
ahpC	b0605	E100000595
ahpF	b0606	E100000596
aidB	b4187	E100004075
ais	b2252	E100002210
alaS	b2697	E100002637
aldA	b1415	E100001386
aldB	b3588	E100003510
aldH	b1300	E100001271
alkA	b2068	E100002027
alkB	b2212	E100002170
alpA	b2624	E100002570
alr	b4053	E100003945
amiA	b2435	E100002386
amiB	b4169	E100004057
amn	b1982	E100001944
ampC	b4150	E100004041
ampD	b0110	E100000110
ampE	b0111	E100000111
ampG	b0433	E100000425
amtB	b0451	E100000443
amyA	b1927	E100001892
ansA	b1767	E100001735
ansB	b2957	E100002892
ansP	b1453	E100001424
apaG	b0050	E100000050
apaH	b0049	E100000049
apbA	b0425	E100000417
aphA	b4055	E100003947
appA	b0980	E100000954
appB	b0979	E100000953
appC	b0978	E100000952
appY	b0564	E100000554
apt	b0469	E100000460
aqpZ	b0875	E100000851
araA	b0062	E100000062
araB	b0063	E100000063
araC	b0064	E100000064
araD	b0061	E100000061
araE	b2841	E100002778
araF	b1901	E100001869
araG	b1900	E100001868
araH_1	b1899	E100001867
araH_2	b1898	E100001866
araJ	b0396	E100000388
arcA	b4401	E100004285
arcB	b3210	E100003140
arcC	b0521	E100000512
argA	b2818	E100002755
argB	b3959	E100003863
argC	b3958	E100003862
argD	b3359	E100003282
argE	b3957	E100003861
argF	b0273	E100000265
argG	b3172	E100003103
argH	b3960	E100003864
argI	b4254	E100004142
argR	b3237	E100003167
argS	b1876	E100001844
argT	b2310	E100002268
aroA	b0908	E100000883
aroB	b3389	E100003312
aroC	b2329	E100002287
aroD	b1693	E100001661
aroE	b3281	E100003204
aroF	b2601	E100002548
aroG	b0754	E100000730
aroH	b1704	E100001672
aroK	b3390	E100003313
aroL	b0388	E100000380
aroM	b0390	E100000382
aroP	b0112	E100000112
arp	b4017	E100003909
arsB	b3502	E100003425
arsC	b3503	E100003426
arsR	b3501	E100003424
artI	b0863	E100000839
artJ	b0860	E100000836
artM	b0861	E100000837
artP	b0864	E100000840
artQ	b0862	E100000838
ascB	b2716	E100002656
ascF	b2715	E100002655
ascG	b2714	E100002654
asd	b3433	E100003356
aslA	b3801	E100003711
aslB	b3800	E100003710
asmA	b2064	E100002023
asnA	b3744	E100003665
asnB	b0674	E100000657
asnC	b3743	E100003664
asnS	b0930	E100000905
aspA	b4139	E100004030
aspC	b0928	E100000903
aspS	b1866	E100001834
asr	b1597	E100001567
atoA	b2222	E100002180
atoB	b2224	E100002182
atoC	b2220	E100002178
atoD	b2221	E100002179
atoE	b2223	E100002181
atoS	b2219	E100002177
atpA	b3734	E100003655
atpB	b3738	E100003659
atpC	b3731	E100003652
atpD	b3732	E100003653
atpE	b3737	E100003658
atpF	b3736	E100003657
atpG	b3733	E100003654
atpH	b3735	E100003656
atpI	b3739	E100003660
avtA	b3572	E100003494
b0005	b0005	E100000005
b0011	b0011	E100000011
b0024	b0024	E100000024
b0100	b0100	E100000100
b0105	b0105	E100000105
b0165	b0165	E100000165
b0235	b0235	E100000228
b0245	b0245	E100000237
b0257	b0257	E100000249
b0263	b0263	E100000255
b0298	b0298	E100000290
b0302	b0302	E100000294
b0309	b0309	E100000301
b0332	b0332	E100000324
b0359	b0359	E100000351
b0362	b0362	E100000354
b0370	b0370	E100000362
b0373	b0373	E100000365
b0379	b0379	E100000371
b0380	b0380	E100000372
b0392	b0392	E100000384
b0395	b0395	E100000387
b0499	b0499	E100000490
b0501	b0501	E100000492
b0502	b0502	E100000493
b0538	b0538	E100000528
b0539	b0539	E100000529
b0540	b0540	E100000530
b0542	b0542	E100000532
b0609	b0609	E100000599
b0663	b0663	E100000653
b0667	b0667	E100000654
b0669	b0669	E100000655
b0671	b0671	E100000656
b0701	b0701	E100000684
b0703	b0703	E100000686
b0725	b0725	E100000708
b0753	b0753	E100000729
b0762	b0762	E100000738
b0795	b0795	E100000771
b0805	b0805	E100000781
b0816	b0816	E100000792
b0817	b0817	E100000793
b0822	b0822	E100000798
b0829	b0829	E100000805
b0830	b0830	E100000806
b0831	b0831	E100000807
b0832	b0832	E100000808
b0833	b0833	E100000809
b0834	b0834	E100000810
b0836	b0836	E100000812
b0844	b0844	E100000820
b0845	b0845	E100000821
b0846	b0846	E100000822
b0847	b0847	E100000823
b0866	b0866	E100000842
b0867	b0867	E100000843
b0868	b0868	E100000844
b0872	b0872	E100000848
b0878	b0878	E100000854
b0899	b0899	E100000874
b0919	b0919	E100000894
b0941	b0941	E100000916
b0942	b0942	E100000917
b0943	b0943	E100000918
b0947	b0947	E100000922
b0955	b0955	E100000930
b0959	b0959	E100000934
b0960	b0960	E100000935
b0964	b0964	E100000939
b0965	b0965	E100000940
b0967	b0967	E100000942
b0968	b0968	E100000943
b1007	b1007	E100000981
b1008	b1008	E100000982
b1009	b1009	E100000983
b1010	b1010	E100000984
b1011	b1011	E100000985
b1012	b1012	E100000986
b1016	b1016	E100000990
b1017	b1017	E100000991
b1027	b1027	E100001001
b1028	b1028	E100001002
b1030	b1030	E100001004
b1044	b1044	E100001017
b1045	b1045	E100001018
b1052	b1052	E100001025
b1057	b1057	E100001030
b1085	b1085	E100001058
b1121	b1121	E100001094
b1134	b1134	E100001107
b1141	b1141	E100001114
b1145	b1145	E100001118
b1146	b1146	E100001119
b1152	b1152	E100001125
b1153	b1153	E100001126
b1155	b1155	E100001128
b1157	b1157	E100001130
b1163	b1163	E100001136
b1168	b1168	E100001141
b1169	b1169	E100001142
b1170	b1170	E100001143
b1171	b1171	E100001144
b1172	b1172	E100001145
b1173	b1173	E100001146
b1180	b1180	E100001153
b1191	b1191	E100001164
b1192	b1192	E100001165
b1199	b1199	E100001172
b1200	b1200	E100001173
b1201	b1201	E100001174
b1202	b1202	E100001175
b1213	b1213	E100001186
b1228	b1228	E100001201
b1240	b1240	E100001211
b1248	b1248	E100001219
b1284	b1284	E100001255
b1297	b1297	E100001268
b1310	b1310	E100001281
b1314	b1314	E100001285
b1327	b1327	E100001298
b1329	b1329	E100001300
b1330	b1330	E100001301
b1337	b1337	E100001308
b1341	b1341	E100001312
b1342	b1342	E100001313
b1345	b1345	E100001316
b1354	b1354	E100001325
b1355	b1355	E100001326
b1360	b1360	E100001331
b1362	b1362	E100001333
b1364	b1364	E100001335
b1365	b1365	E100001336
b1367	b1367	E100001338
b1368	b1368	E100001339
b1369	b1369	E100001340
b1371	b1371	E100001342
b1372	b1372	E100001343
b1374	b1374	E100001345
b1377	b1377	E100001348
b1391	b1391	E100001362
b1392	b1392	E100001363
b1394	b1394	E100001365
b1396	b1396	E100001367
b1397	b1397	E100001368
b1398	b1398	E100001369
b1399	b1399	E100001370
b1400	b1400	E100001371
b1408	b1408	E100001379
b1409	b1409	E100001380
b1410	b1410	E100001381
b1420	b1420	E100001391
b1422	b1422	E100001393
b1423	b1423	E100001394
b1425	b1425	E100001396
b1428	b1428	E100001399
b1431	b1431	E100001402
b1432	b1432	E100001403
b1433	b1433	E100001404
b1436	b1436	E100001407
b1437	b1437	E100001408
b1438	b1438	E100001409
b1439	b1439	E100001410
b1440	b1440	E100001411
b1441	b1441	E100001412
b1442	b1442	E100001413
b1443	b1443	E100001414
b1444	b1444	E100001415
b1445	b1445	E100001416
b1446	b1446	E100001417
b1447	b1447	E100001418
b1448	b1448	E100001419
b1450	b1450	E100001421
b1451	b1451	E100001422
b1452	b1452	E100001423
b1454	b1454	E100001425
b1455	b1455	E100001426
b1458	b1458	E100001429
b1459	b1459	E100001430
b1462	b1462	E100001433
b1463	b1463	E100001434
b1470	b1470	E100001441
b1471	b1471	E100001442
b1472	b1472	E100001443
b1481	b1481	E100001452
b1483	b1483	E100001454
b1484	b1484	E100001455
b1485	b1485	E100001456
b1486	b1486	E100001457
b1487	b1487	E100001458
b1488	b1488	E100001459
b1489	b1489	E100001460
b1490	b1490	E100001461
b1491	b1491	E100001462
b1497	b1497	E100001468
b1498	b1498	E100001469
b1499	b1499	E100001470
b1500	b1500	E100001471
b1501	b1501	E100001472
b1502	b1502	E100001473
b1503	b1503	E100001474
b1504	b1504	E100001475
b1505	b1505	E100001476
b1506	b1506	E100001477
b1509	b1509	E100001480
b1513	b1513	E100001484
b1516	b1516	E100001487
b1518	b1518	E100001489
b1519	b1519	E100001490
b1520	b1520	E100001491
b1522	b1522	E100001493
b1523	b1523	E100001494
b1525	b1525	E100001496
b1527	b1527	E100001498
b1541	b1541	E100001512
b1543	b1543	E100001514
b1545	b1545	E100001516
b1547	b1547	E100001518
b1550	b1550	E100001521
b1551	b1551	E100001522
b1553	b1553	E100001524
b1554	b1554	E100001525
b1555	b1555	E100001526
b1556	b1556	E100001527
b1559	b1559	E100001530
b1560	b1560	E100001531
b1565	b1565	E100001536
b1567	b1567	E100001538
b1568	b1568	E100001539
b1578	b1578	E100001548
b1579	b1579	E100001549
b1582	b1582	E100001552
b1583	b1583	E100001553
b1586	b1586	E100001556
b1587	b1587	E100001557
b1588	b1588	E100001558
b1589	b1589	E100001559
b1590	b1590	E100001560
b1591	b1591	E100001561
b1592	b1592	E100001562
b1593	b1593	E100001563
b1598	b1598	E100001568
b1599	b1599	E100001569
b1600	b1600	E100001570
b1601	b1601	E100001571
b1604	b1604	E100001574
b1605	b1605	E100001575
b1624	b1624	E100001594
b1625	b1625	E100001595
b1626	b1626	E100001596
b1627	b1627	E100001597
b1628	b1628	E100001598
b1629	b1629	E100001599
b1631	b1631	E100001601
b1640	b1640	E100001610
b1643	b1643	E100001613
b1644	b1644	E100001614
b1645	b1645	E100001615
b1647	b1647	E100001617
b1648	b1648	E100001618
b1649	b1649	E100001619
b1657	b1657	E100001627
b1664	b1664	E100001634
b1667	b1667	E100001635
b1668	b1668	E100001636
b1669	b1669	E100001637
b1671	b1671	E100001639
b1672	b1672	E100001640
b1673	b1673	E100001641
b1674	b1674	E100001642
b1675	b1675	E100001643
b1680	b1680	E100001648
b1685	b1685	E100001653
b1686	b1686	E100001654
b1688	b1688	E100001656
b1689	b1689	E100001657
b1690	b1690	E100001658
b1691	b1691	E100001659
b1695	b1695	E100001663
b1696	b1696	E100001664
b1706	b1706	E100001674
b1707	b1707	E100001675
b1720	b1720	E100001688
b1721	b1721	E100001689
b1722	b1722	E100001690
b1724	b1724	E100001692
b1725	b1725	E100001693
b1726	b1726	E100001694
b1728	b1728	E100001696
b1729	b1729	E100001697
b1730	b1730	E100001698
b1731	b1731	E100001699
b1741	b1741	E100001709
b1742	b1742	E100001710
b1745	b1745	E100001713
b1746	b1746	E100001714
b1747	b1747	E100001715
b1754	b1754	E100001722
b1755	b1755	E100001723
b1756	b1756	E100001724
b1757	b1757	E100001725
b1758	b1758	E100001726
b1759	b1759	E100001727
b1760	b1760	E100001728
b1762	b1762	E100001730
b1770	b1770	E100001738
b1771	b1771	E100001739
b1772	b1772	E100001740
b1773	b1773	E100001741
b1775	b1775	E100001743
b1776	b1776	E100001744
b1777	b1777	E100001745
b1781	b1781	E100001749
b1788	b1788	E100001756
b1806	b1806	E100001774
b1808	b1808	E100001776
b1809	b1809	E100001777
b1810	b1810	E100001778
b1811	b1811	E100001779
b1815	b1815	E100001783
b1820	b1820	E100001788
b1821	b1821	E100001789
b1824	b1824	E100001792
b1825	b1825	E100001793
b1826	b1826	E100001794
b1827	b1827	E100001795
b1828	b1828	E100001796
b1832	b1832	E100001800
b1833	b1833	E100001801
b1834	b1834	E100001802
b1836	b1836	E100001804
b1837	b1837	E100001805
b1839	b1839	E100001807
b1840	b1840	E100001808
b1841	b1841	E100001809
b1843	b1843	E100001811
b1844	b1844	E100001812
b1903	b1903	E100001871
b1904	b1904	E100001872
b1933	b1933	E100001898
b1936	b1936	E100001901
b1953	b1953	E100001918
b1955	b1955	E100001919
b1956	b1956	E100001920
b1957	b1957	E100001921
b1963	b1963	E100001927
b1964	b1964	E100001928
b1965	b1965	E100001929
b1966	b1966	E100001930
b1970	b1970	E100001934
b1971	b1971	E100001935
b1972	b1972	E100001936
b1973	b1973	E100001937
b1976	b1976	E100001939
b1978	b1978	E100001940
b1979	b1979	E100001941
b1980	b1980	E100001942
b1983	b1983	E100001945
b1995	b1995	E100001954
b1998	b1998	E100001957
b2001	b2001	E100001960
b2016	b2016	E100001975
b2060	b2060	E100002019
b2070	b2070	E100002029
b2071	b2071	E100002030
b2072	b2072	E100002031
b2073	b2073	E100002032
b2074	b2074	E100002033
b2080	b2080	E100002039
b2083	b2083	E100002042
b2084	b2084	E100002043
b2085	b2085	E100002044
b2086	b2086	E100002045
b2088	b2088	E100002047
b2097	b2097	E100002056
b2099	b2099	E100002058
b2100	b2100	E100002059
b2107	b2107	E100002066
b2145	b2145	E100002104
b2146	b2146	E100002105
b2174	b2174	E100002133
b2191	b2191	E100002149
b2225	b2225	E100002183
b2226	b2226	E100002184
b2227	b2227	E100002185
b2228	b2228	E100002186
b2229	b2229	E100002187
b2245	b2245	E100002203
b2246	b2246	E100002204
b2247	b2247	E100002205
b2248	b2248	E100002206
b2249	b2249	E100002207
b2250	b2250	E100002208
b2253	b2253	E100002211
b2254	b2254	E100002212
b2255	b2255	E100002213
b2256	b2256	E100002214
b2257	b2257	E100002215
b2258	b2258	E100002216
b2274	b2274	E100002232
b2275	b2275	E100002233
b2290	b2290	E100002248
b2291	b2291	E100002249
b2294	b2294	E100002252
b2295	b2295	E100002253
b2299	b2299	E100002257
b2304	b2304	E100002262
b2322	b2322	E100002280
b2324	b2324	E100002282
b2325	b2325	E100002283
b2326	b2326	E100002284
b2331	b2331	E100002289
b2332	b2332	E100002290
b2333	b2333	E100002291
b2334	b2334	E100002292
b2335	b2335	E100002293
b2337	b2337	E100002295
b2339	b2339	E100002297
b2340	b2340	E100002298
b2341	b2341	E100002299
b2342	b2342	E100002300
b2343	b2343	E100002301
b2345	b2345	E100002303
b2350	b2350	E100002307
