1_1_1	null	null	null	1940	30250	100	179	263	253	105	107	20	86	76	0	221	289	256	153	155	23	86	62	0	1.088	1.162	1.000	2.240	3.490	0.744	0.528	80	498	142	294	0.122	74	68	158	136	0
1_1_2	null	null	null	2140	30270	60	566	758	576	108	109	21	100	100	0	389	641	513	155	158	23	93	93	0	1.957	1.337	1.501	3.022	3.656	0.952	0.635	32	176	692	1136	0.969	458	234	650	486	0
1_1_3	null	null	null	2300	30250	100	10485	8892	4287	105	108	20	100	100	0	10215	8770	4065	155	158	25	100	100	0	1.032	1.020	1.015	1.418	2.045	0.957	0.870	80	482	20440	17402	0.045	10380	10060	8787	8615	0
1_1_4	null	null	null	2480	30270	80	1219	3856	4470	108	116	45	96	90	0	904	3316	4196	160	162	29	82	78	0	1.493	1.188	1.432	6.618	12.918	0.940	0.725	52	322	1855	6904	0.578	1111	744	3748	3156	0
1_1_5	null	null	null	2670	30240	100	144	246	286	107	108	23	58	45	0	181	224	167	149	151	23	56	36	0	1.156	1.853	1.297	3.309	6.106	0.716	0.177	80	503	69	214	0.209	37	32	139	75	-100
1_1_6	null	null	null	2850	30250	80	1020	3935	5627	107	112	32	98	98	0	656	2958	4272	149	152	24	98	98	0	1.801	1.363	1.514	3.264	6.133	1.065	0.644	52	328	1420	6637	0.849	913	507	3828	2809	0
1_1_7	null	null	null	3040	30250	120	25889	22638	13893	110	113	24	100	100	0	19679	18171	11269	156	159	24	100	100	0	1.320	1.251	1.197	3.954	9.900	1.144	0.846	120	589	45302	40543	0.401	25779	19523	22528	18015	0
1_1_8	null	null	null	3210	30250	120	20853	18798	8254	108	111	25	100	100	0	17985	15157	7060	163	164	26	99	95	0	1.164	1.246	1.230	2.369	5.295	1.152	0.878	120	526	38567	33684	0.219	20745	17822	18690	14994	0
1_1_9	null	null	null	3380	30240	120	11684	10494	5101	106	108	23	100	100	0	9177	8606	4296	159	162	26	99	98	0	1.284	1.230	1.230	2.789	8.717	1.160	0.908	120	581	20596	18835	0.361	11578	9018	10388	8447	0
1_1_10	null	null	null	3570	30250	110	1871	2749	2325	104	105	18	100	100	0	1592	2214	2145	153	155	24	98	98	0	1.228	1.283	1.431	2.044	2.719	1.029	0.769	80	519	3206	4706	0.296	1767	1439	2645	2061	0
