1.2.47.5	aas	b2836	Z4154	ECs3693	
1.12.16.2	aat	b0885	Z1229	ECs0970	
1.8.18.1	abc	b0199	Z0211	ECs0201	
1.7.5.2	abrB	b0715	Z0867	ECs0740	
1.2.31.1	accA	b0185	Z0197	ECs0187	
1.6.20.6	accB	b3255	Z4615	ECs4127	
1.8.20.6	accC	b3256	Z4616	ECs4128	
1.11.29.4	accD	b2316	Z3578	ECs3200	
1.2.29.7	aceA	b4015	Z5601	ECs4933	
1.12.43.7	aceB	b4014	Z5600	ECs4932	
1.4.19.1	aceE	b0114	Z0124	ECs0118	
1.6.19.1	aceF	b0115	Z0125	ECs0119	
1.4.29.7	aceK	b4016	Z5602	ECs4934	
1.7.41.4	ackA	b2296	Z3558	ECs3180	
1.2.1.3	acnA	b1276	Z2532	ECs1849	
1.12.19.1	acnB	b0118	Z0128	ECs0122	
1.12.8.3	acpD	b1412	Z2315	ECs2014	
1.9.35.2	acpP	b1094	Z1733	ECs1472	
1.6.20.5	acpS	b2563			
1.5.45.1	acrA	b0463	Z0578	ECs0516	
1.3.45.1	acrB	b0462	Z0576	ECs0515	
1.10.19.5	acrD	b2470	Z3727	ECs3332	
1.2.22.6	acrE	b3265	Z4625	ECs4137	
1.4.22.6	acrF	b3266	Z4626	ECs4138	
1.7.45.1	acrR	b0464	Z0579	ECs0517	
1.2.4.8	acs	b4069	Z5668	ECs5051	
1.8.43.4	ada	b2213	Z3471	ECs3102	
1.3.43.3	add	b1623	Z2628	ECs2331	
1.7.12.1	adhC	b0356	Z0456	ECs0411	
1.1.11.3	adhE	b1241	Z2016	ECs1741	
1.1.4.3	adhP	b1478	Z2232	ECs2082	
1.4.46.7	adiA	b4117	Z5719	ECs5099	
1.2.46.7	adiY	b4116	Z5718	ECs5098	
1.3.47.1	adk	b0474	Z0591	ECs0527	
1.9.45.1	aefA	b0465	Z0581	ECs0518	
1.1.40.5	aer	b3072	Z4425	ECs3954	
1.12.44.8	afuA		Z0460	ECs0415	
1.10.44.8	afuB		Z0459	ECs0414	
1.10.12.1	afuC	b0262			
1.7.16.6	agaA	b3135	Z4489	ECs4015	
1.1.32.6	agaB	b3138	Z4492	ECs4018	
1.3.32.6	agaC	b3139	Z4493		
1.5.32.6	agaD	b3140	Z4494	ECs4019	
1.7.32.6	agaI	b3141	Z4497		
1.11.30.6	agaR	b3131	Z4483	ECs4009	
1.9.16.6	agaS	b3136	Z4490	ECs4016	
1.3.16.6	agaV	b3133	Z4485	ECs4011	
1.5.16.6	agaW	b3134	Z4486	ECs4012	
1.11.16.6	agaY	b3137	Z4491	ECs4017	
1.1.16.6	agaZ	b3132	Z4484	ECs4010	
1.6.21.2	agp	b1002	Z1421	ECs1158	
1.4.38.1	ahpC	b0605	Z0749	ECs0644	
1.6.38.1	ahpF	b0606	Z0750	ECs0645	
1.4.42.7	aidB	b4187	Z5794	ECs5163	
1.3.19.4	ais	b2252	Z3510	ECs3140	
1.1.10.5	alaS	b2697	Z3999	ECs3554	
1.6.24.3	aldA	b1415	Z2306	ECs2021	
1.1.25.7	aldB	b3588	Z5008	ECs4464	
1.2.5.3	aldH	b1300	Z2488	ECs1877	
1.6.34.4	alkA	b2068	Z3237	ECs2877	
1.6.43.4	alkB	b2212	Z3470	ECs3101	
1.11.47.4	alpA	b2624			
1.6.35.7	alr	b4053	Z5651	ECs5035	
1.12.13.5	amiA	b2435	Z3700	ECs3306	
1.4.5.8	amiB	b4169	Z5776	ECs5145	
1.5.36.4	amn	b1982	Z3139	ECs2779	
1.8.36.7	ampC	b4150	Z5757	ECs5131	
1.8.3.1	ampD	b0110	Z0120	ECs0114	
1.10.3.1	ampE	b0111	Z0121	ECs0115	
1.7.6.2	ampG	b0433	Z0536	ECs0487	
1.7.43.1	amtB	b0451	Z0563	ECs0505	
1.7.46.3	amyA	b1927	Z3017	ECs2666	
1.4.36.3	ansA	b1767	Z2801	ECs2474	
1.2.3.6	ansB	b2957	Z4302	ECs3833	
1.10.30.3	ansP	b1453	Z2266	ECs2057	
