TI83333S000001	b0001	thrL	thr operon leader peptide
TI83333S000002	b0002	thrA	bifunctional aspartokinase I/homeserine dehydrogenase I
TI83333S000003	b0003	thrB	homoserine kinase
TI83333S000004	b0004	thrC	threonine synthase
TI83333S000005	b0005	yaaX	hypothetical protein
TI83333S000006	b0006	yaaA	hypothetical protein
TI83333S000007	b0007	yaaJ	inner membrane transport protein
TI83333S000008	b0008	talB	transaldolase
TI83333S000009	b0009	mog	molybdenum cofactor biosynthesis protein
TI83333S000010	b0010	yaaH	"putative regulator, integral membrane protein"
TI83333S000011	b0011	yaaW	hypothetical protein
TI83333S000012	b0012	htgA	positive regulator for sigma 32 heat shock promoters
TI83333S000013	b0013	yaaI	hypothetical protein
TI83333S000014	b0014	dnaK	molecular chaperone DnaK
TI83333S000015	b0015	dnaJ	chaperone with DnaK; heat shock protein
TI83333S000016	b0016	b0016	IS186 hypothetical protein
TI83333S000017	b0017	b0017	IS186 and IS421 hypothetical protein
TI83333S000018	b0018	mokC	regulatory peptide whose translation enables hokC (gef) expression
TI83333S000019	b4412		small toxic membrane polypeptide
TI83333S000020	b0019	nhaA	"Na+/H antiporter, pH dependent"
TI83333S000021	b0020	nhaR	transcriptional activator of cation transport (LysR family)
TI83333S000022	b0021	insB_6	IS1 protein InsB
TI83333S000023	b0022	see b1894	IS1 protein InsA
TI83333S000024	b0023	rpsT	30S ribosomal protein S20
TI83333S000025	b0024	yaaY	unknown CDS
TI83333S000026	b0025	ribF	hypothetical protein
TI83333S000027	b0026	ileS	isoleucyl-tRNA synthetase
TI83333S000028	b0027	lspA	signal peptidase II
TI83333S000029	b0028	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
TI83333S000030	b0029	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
TI83333S000031	b0030	rihC	nucleoside hydrolase
TI83333S000032	b0031	dapB	dihydrodipicolinate reductase
TI83333S000033	b0032	carA	carbamoyl-phosphate synthase small subunit
TI83333S000034	b0033	carB	carbamoyl-phosphate synthase large subunit
TI83333S000035	b0034	caiF	transcriptional regulator of cai operon
TI83333S000036	b0035	caiE	possible synthesis of cofactor for carnitine racemase and dehydratase
TI83333S000037	b0036	caiD	carnitinyl-CoA dehydratase
TI83333S000038	b0037	caiC	crotonobetaine/carnitine-CoA ligase
TI83333S000039	b0038	caiB	crotonobetainyl-CoA:carnitineCoA-transferase
TI83333S000040	b0039	caiA	crotonobetainyl-CoA dehydrogenase
TI83333S000041	b0040	caiT	L-carnitine/gamma-butyrobetaine antiporter
TI83333S000042	b0041	fixA	putative electron transfer flavoprotein subunit beta
TI83333S000043	b0042	fixB	putative electron transfer flavoprotein subunit alpha
TI83333S000044	b0043	fixC	carnitine metabolism related
TI83333S000045	b0044	fixX	putative ferredoxin
TI83333S000046	b0045	yaaU	putative transport protein
TI83333S000047	b0046	kefF	glutathione-regulated potassium-efflux system ancillary protein
TI83333S000048	b0047	kefC	glutathione-regulated potassium-efflux system protein
TI83333S000049	b0048	folA	"dihydrofolate reductase type I, trimethoprim resistance"
TI83333S000050	b0049	apaH	diadenosinetetraphosphatase
TI83333S000051	b0050	apaG	hypothetical protein
TI83333S000052	b0051	ksgA	dimethyladenosine transferase
TI83333S000053	b0052	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase
TI83333S000054	b0053	surA	"peptidyl-prolyl cis-trans isomerase (PPIase), involved in maturation of outer membrane proteins"
TI83333S000055	b0054	lptD	organic solvent tolerance protein precursor
TI83333S000056	b0055	djlA	Dna-J like membrane chaperone protein
TI83333S000057	b0056	yabP	hypothetical protein
TI83333S000058	b0057	yabQ	unknown CDS
TI83333S000059	b0058	rluA	23S rRNA pseudouridylate 746 synthase
TI83333S000060	b0059	hepA	ATP-dependent helicase HepA
TI83333S000061	b0060	polB	DNA polymerase II
TI83333S000062	b0061	araD	L-ribulose-5-phosphate 4-epimerase
TI83333S000063	b0062	araA	L-arabinose isomerase
TI83333S000064	b0063	araB	ribulokinase
TI83333S000065	b0064	araC	transcriptional regulator for ara operon
TI83333S000066	b0065	yabI	putative integral membrane protein
TI83333S000067	b0066	thiQ	putative ATP-binding component of a transport system
TI83333S000068	b0067	thiP	thiamin ABC transporter membrane component
TI83333S000069	b0068	tbpA	thiamin-binding periplasmic protein
TI83333S000070	b0069	sgrR	putative periplasmic binding protein of transport system
TI83333S000071	b0070	setA	Sugar efflux protein
TI83333S000072	b0071	leuD	isopropylmalate isomerase small subunit
TI83333S000073	b0072	leuC	isopropylmalate isomerase large subunit
TI83333S000074	b0073	leuB	3-isopropylmalate dehydrogenase
TI83333S000075	b0074	leuA	2-isopropylmalate synthase
TI83333S000076	b0075	leuL	leu operon leader peptide
TI83333S000077	b0076	leuO	leucine transcriptional activator
TI83333S000078	b0077	ilvI	acetolactate synthase III large subunit
TI83333S000079	b0078	ilvH	acetolactate synthase small subunit
TI83333S000080	b0079	fruL	fruR leader peptide
TI83333S000081	b0080	fruR	transcriptional regulator of the control of carbon and energy metabolism (GalR/LacI family)
TI83333S000082	b0081	mraZ	hypothetical protein
TI83333S000083	b0082	mraW	S-adenosyl-methyltransferase
TI83333S000084	b0083	ftsL	cell division protein; ingrowth of wall at septum
TI83333S000085	b0084	ftsI	"division-specific transpeptidase, penicillin-binding protein 3"
TI83333S000086	b0085	murE	"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase"
TI83333S000087	b0086	murF	D-alanine:D-alanine-adding enzyme
TI83333S000088	b0087	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase
TI83333S000089	b0088	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase
TI83333S000090	b0089	ftsW	cell division; membrane protein involved in shape determination
TI83333S000091	b0090	murG	N-acetylglucosaminyl transferase
TI83333S000092	b0091	murC	UDP-N-acetylmuramate--L-alanine ligase
TI83333S000093	b0092	ddlB	D-alanylalanine synthetase
TI83333S000094	b0093	ftsQ	cell division protein; ingrowth of wall at septum
TI83333S000095	b0094	ftsA	cell division protein
TI83333S000096	b0095	ftsZ	cell division protein FtsZ
TI83333S000097	b0096	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
TI83333S000098	b0097	secM	SecA regulator SecM
TI83333S000099	b0098	secA	translocase
TI83333S000100	b0099	mutT	"7,8-dihydro-8-oxoguanine-triphosphatase, prefers dGTP"
TI83333S000101	b0100	b0100	unknown CDS
TI83333S000102	b0101	yacG	zinc-binding protein
TI83333S000103	b0102	yacF	hypothetical protein
TI83333S000104	b0103	coaE	dephospho-CoA kinase
TI83333S000105	b0104	guaC	guanosine 5'-monophosphate oxidoreductase
TI83333S000106	b0105	b0105	unknown CDS
TI83333S000107	b0106	hofC	"component in type IV pilin biogenesis, transmembrane protein"
TI83333S000108	b0107	hofB	"putative integral membrane protein involved in biogenesis of fimbriae (type IV pilin), protein transport, DNA uptake"
TI83333S000109	b0108	ppdD	prelipin peptidase dependent protein
